Ticket_Text,True_Label,Pred_1,Score_1,Pred_2,Score_2,Pred_3,Score_3
"Difficulty in Brand Growth: Marketing campaigns are not performing well. After reviewing the data, a...",Technical Support,General Inquiry,31.68%,Returns and Exchanges,22.21%,Sales and Pre-Sales,9.72%
Misleading Investment Projections Noted: The financial analytics tool has been delivering unreliable...,Product Support,General Inquiry,32.99%,Product Support,17.28%,Technical Support,15.60%
": Dear Customer Support, I am encountering crashes with the SaaS platform that integrates Microsoft ...",Technical Support,Customer Service,84.50%,General Inquiry,5.87%,Technical Support,2.30%
"Implement Enhanced Project Management with Dynamics 365: Customer Support, initiating request for in...",IT Support,Customer Service,84.63%,General Inquiry,5.77%,Product Support,2.85%
Trouble with Product Display Online: Facing challenges with product visibility and customer engageme...,Returns and Exchanges,General Inquiry,30.49%,Sales and Pre-Sales,14.19%,Returns and Exchanges,11.32%
Assistance for Users: Problem leading to access difficulties...,Technical Support,Customer Service,20.31%,General Inquiry,17.50%,Technical Support,16.42%
Request to Update Marketing Strategy for Enhanced Brand Visibility: Need to update marketing strateg...,Customer Service,General Inquiry,65.82%,Returns and Exchanges,7.40%,Customer Service,5.05%
Inquiry into JIRA Software Billing Features: Seeking to understand the billing features included in ...,Billing and Payments,General Inquiry,39.04%,Billing and Payments,15.39%,Returns and Exchanges,9.13%
"Integrating ClickUp with IBM Cloud Services: Customer Support, I am reaching out to inquire about in...",Product Support,Customer Service,79.77%,General Inquiry,13.00%,Returns and Exchanges,1.51%
Crucial Failure in Data Analytics System: The data analytics system encountered a severe malfunction...,Customer Service,Returns and Exchanges,26.44%,General Inquiry,18.32%,Technical Support,10.37%
Security Compromise in Data Systems: Encountered data breaches due to obsolete security measures....,Product Support,General Inquiry,32.85%,Returns and Exchanges,15.07%,Billing and Payments,10.24%
"Question About Marketing Agency Software Compatibility: Dear Support Team,\n\nI hope this message re...",Sales and Pre-Sales,Product Support,26.83%,Technical Support,21.24%,General Inquiry,20.42%
"Request for Help with Robotic Vacuum Scheduling: Dear Customer Support Team,\n\nI hope this message ...",Product Support,Customer Service,60.86%,General Inquiry,12.88%,Product Support,6.63%
"Inquiry for Integration Documentation with Google Keep: Dear Customer Support Team, I am writing to ...",Technical Support,Customer Service,60.60%,General Inquiry,22.14%,Returns and Exchanges,3.30%
Assistance with Data Analytics Tools: I am seeking detailed documentation and guidance on the data a...,IT Support,General Inquiry,27.43%,Technical Support,17.33%,Product Support,14.13%
Trouble with ClickUp Integration Smart-Thermometer: Facing integration difficulties with ClickUp and...,Technical Support,General Inquiry,24.96%,Technical Support,24.12%,Product Support,13.93%
Microsoft Teams Integration Support: Is it possible to receive comprehensive guidance on integrating...,Customer Service,General Inquiry,51.92%,Product Support,9.07%,Returns and Exchanges,8.58%
Boost Investment in Data Analytics: Improve investment tools for optimization...,IT Support,Returns and Exchanges,36.68%,General Inquiry,13.73%,Sales and Pre-Sales,8.28%
Address Drop in Client Engagement Linked to Algorithm Adjustments: There has been a drop in client e...,Sales and Pre-Sales,General Inquiry,24.34%,Returns and Exchanges,15.76%,Customer Service,11.51%
": Dear Customer Support, we have noticed a considerable decline in our online engagement metrics ove...",Technical Support,Customer Service,88.83%,General Inquiry,4.44%,Returns and Exchanges,1.68%
"Improving Brand Visibility Online Efficiently: Customer Support, we are seeking to enhance our brand...",Customer Service,Customer Service,88.65%,General Inquiry,7.57%,Returns and Exchanges,0.80%
Cloud-based Project Management Solutions: Can you supply comprehensive documentation on how to integ...,Product Support,General Inquiry,60.58%,Returns and Exchanges,9.74%,Technical Support,4.96%
Revise Data Analytics Models: Customer support is focused on refining data analytics models to impro...,General Inquiry,Customer Service,87.08%,General Inquiry,2.68%,Technical Support,2.10%
